Format Version,1.23,Take Name,Take 2023-04-19 05.18.13 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-04-19 05.18.14.345 오후,Capture Start Frame,230959,Total Frames in Take,5379,Total Exported Frames,5379,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,probe,probe,probe,probe,probe,probe,probe,probe,"probe:Marker1","probe:Marker1","probe:Marker1","probe:Marker1","probe:Marker2","probe:Marker2","probe:Marker2","probe:Marker2","probe:Marker3","probe:Marker3","probe:Marker3","probe:Marker3","probe:Marker4","probe:Marker4","probe:Marker4","probe:Marker4",Unlabeled 1055,Unlabeled 1055,Unlabeled 1055,Unlabeled 1056,Unlabeled 1056,Unlabeled 1056,Unlabeled 1057,Unlabeled 1057,Unlabeled 1057,Unlabeled 1058,Unlabeled 1058,Unlabeled 1058,Unlabeled 1059,Unlabeled 1059,Unlabeled 1059,Unlabeled 1060,Unlabeled 1060,Unlabeled 1060,Unlabeled 1061,Unlabeled 1061,Unlabeled 1061,Unlabeled 1062,Unlabeled 1062,Unlabeled 1062,Unlabeled 1063,Unlabeled 1063,Unlabeled 1063,Unlabeled 1065,Unlabeled 1065,Unlabeled 1065,Unlabeled 1066,Unlabeled 1066,Unlabeled 1066,Unlabeled 1067,Unlabeled 1067,Unlabeled 1067,Unlabeled 1069,Unlabeled 1069,Unlabeled 1069,Unlabeled 1070,Unlabeled 1070,Unlabeled 1070,Unlabeled 1071,Unlabeled 1071,Unlabeled 1071,Unlabeled 1072,Unlabeled 1072,Unlabeled 1072,Unlabeled 1074,Unlabeled 1074,Unlabeled 1074,Unlabeled 1075,Unlabeled 1075,Unlabeled 1075,Unlabeled 1076,Unlabeled 1076,Unlabeled 1076,Unlabeled 1078,Unlabeled 1078,Unlabeled 1078
,ID,"B9C7A53CDE8811ED1C21E954A5008B9C","B9C7A53CDE8811ED1C21E954A5008B9C","B9C7A53CDE8811ED1C21E954A5008B9C","B9C7A53CDE8811ED1C21E954A5008B9C","B9C7A53CDE8811ED1C21E954A5008B9C","B9C7A53CDE8811ED1C21E954A5008B9C","B9C7A53CDE8811ED1C21E954A5008B9C","B9C7A53CDE8811ED1C21E954A5008B9C","B9C7A53CDE8811ED1C21E954A5008B9C","B9C7A53CDE8811ED1C21E954A5008B9C","B9C7A53CDE8811ED1C21E954A5008B9C","B9C7A53CDE8811ED1C21E954A5008B9C","B9C7A53CDE8811ED1C21E954A5008B9C","B9C7A53CDE8811ED1C21E954A5008B9C","B9C7A53CDE8811ED1C21E954A5008B9C","B9C7A53CDE8811ED1C21E954A5008B9C","B9C7A53CDE8811ED1C21E954A5008B9C","B9C7A53CDE8811ED1C21E954A5008B9C","B9C7A53CDE8811ED1C21E954A5008B9C","B9C7A53CDE8811ED1C21E954A5008B9C","B9C7A53CDE8811ED1C21E954A5008B9C","B9C7A53CDE8811ED1C21E954A5008B9C","B9C7A53CDE8811ED1C21E954A5008B9C","B9C7A53CDE8811ED1C21E954A5008B9C","C7260","C7260","C7260","C7290","C7290","C7290","C7310","C7310","C7310","C7440","C7440","C7440","C7460","C7460","C7460","C7480","C7480","C7480","C7470","C7470","C7470","C7490","C7490","C7490","C74A0","C74A0","C74A0","C74C0","C74C0","C74C0","C74D0","C74D0","C74D0","C74E0","C74E0","C74E0","C7500","C7500","C7500","C7520","C7520","C7520","C7530","C7530","C7530","C7540","C7540","C7540","C7560","C7560","C7560","C7570","C7570","C7570","C7580","C7580","C7580","C75A0","C75A0","C75A0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.337800,0.656799,0.490907,0.462079,0.042748,0.121671,0.032595,0.000956,0.159640,0.168090,0.038113,0.763147,0.206848,0.184484,0.033640,0.822549,0.243760,0.228005,0.020844,0.346365,0.296977,0.186207,0.034054,0.958676,0.159880,0.168073,0.037197,0.206809,0.184422,0.032933,0.243462,0.228001,0.023442,0.296904,0.186302,0.034168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,0.337409,0.656941,0.490620,0.462467,0.042739,0.121618,0.032592,0.000949,0.159630,0.168039,0.038125,0.774362,0.206841,0.184426,0.033659,0.815245,0.243762,0.227931,0.020835,0.337079,0.296970,0.186146,0.034123,0.974183,0.159874,0.168014,0.037256,0.206812,0.184370,0.032923,0.243454,0.227961,0.023469,0.296905,0.186208,0.034175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,0.337227,0.657272,0.490270,0.462501,0.042735,0.121530,0.032786,0.000956,0.159623,0.167969,0.038236,0.774362,0.206831,0.184356,0.033739,0.815245,0.243743,0.227853,0.020861,0.337079,0.296960,0.186087,0.034172,0.974183,0.159873,0.167949,0.037366,0.206797,0.184299,0.033014,0.243439,0.227884,0.023536,0.296883,0.186151,0.034228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,0.338692,0.656773,0.491157,0.461196,0.042708,0.121496,0.032967,0.000953,0.159615,0.167895,0.038353,0.768732,0.206816,0.184292,0.033821,0.818112,0.243708,0.227832,0.021035,0.350543,0.296946,0.186006,0.034072,0.945023,0.159860,0.167877,0.037461,0.206778,0.184240,0.033096,0.243410,0.227829,0.023616,0.296873,0.186104,0.034256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,0.345073,0.653309,0.496151,0.456011,0.042637,0.121584,0.032881,0.000968,0.159627,0.167758,0.038402,0.768732,0.206815,0.184194,0.033882,0.818112,0.243671,0.227938,0.021701,0.350543,0.296947,0.185816,0.033579,0.945023,0.159842,0.167789,0.037516,0.206762,0.184168,0.033193,0.243388,0.227740,0.023658,0.296850,0.186043,0.034323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
